1	2	7125	650	150	100
2	2	2275	600	150	100
3	9	3275	625	50	50
4	9	3325	625	50	50
5	9	3375	625	50	50
6	2	7475	600	150	100
7	2	8125	600	150	100
8	2	1375	550	150	100
9	9	3275	575	50	50
10	9	3325	575	50	50
11	9	3375	575	50	50
12	2	3775	550	150	100
13	2	4675	550	150	100
14	2	7975	550	150	100
15	9	3675	525	50	50
16	9	3725	525	50	50
17	9	3775	525	50	50
18	9	3825	525	50	50
19	9	3875	525	50	50
20	2	2125	450	150	100
21	9	2175	475	50	50
22	2	2525	450	150	100
23	9	3675	475	50	50
24	9	3725	475	50	50
25	9	3775	475	50	50
26	9	3825	475	50	50
27	9	3875	475	50	50
28	2	4225	450	150	100
29	2	5075	450	150	100
30	2	5375	450	150	100
31	2	5925	450	150	100
32	2	6925	450	150	100
33	2	2925	400	150	100
34	5	3275	425	50	50
35	5	3325	425	50	50
36	5	3375	425	50	50
37	2	6725	400	150	100
38	2	525	350	150	100
39	5	7375	375	50	50
40	5	7425	375	50	50
41	8	7475	375	50	50
42	5	7525	375	50	50
43	5	7575	375	50	50
44	7	7625	375	50	50
45	2	325	300	150	100
46	2	1075	300	150	100
47	5	1275	325	50	50
48	5	1325	325	50	50
49	6	1375	325	50	50
50	7	1425	325	50	50
51	2	1825	300	150	100
52	5	2025	325	50	50
53	7	2075	325	50	50
54	5	2125	325	50	50
55	8	2175	325	50	50
56	5	2225	325	50	50
57	7	2275	325	50	50
58	5	2325	325	50	50
59	8	2375	325	50	50
60	5	2425	325	50	50
61	5	3675	325	50	50
62	5	3725	325	50	50
63	7	3775	325	50	50
64	5	3825	325	50	50
65	5	3875	325	50	50
66	2	675	250	150	100
67	2	5425	250	150	100
68	12	7025	275	50	50
69	3	900	175	100	150
70	10	2550	175	100	150
71	11	3500	175	100	150
72	14	5850	175	100	150
73	16	6400	234	200	32
74	12	6975	225	50	50
75	12	7025	225	50	50
76	12	5175	175	50	50
77	15	6175	150	50	100
78	12	6925	175	50	50
79	12	6975	175	50	50
80	12	7025	175	50	50
81	12	7075	175	50	50
82	4	150	125	100	50
83	4	750	125	100	50
84	17	1425	125	50	50
85	4	1900	125	100	50
86	4	3600	125	100	50
87	18	3825	125	50	50
88	12	4075	125	50	50
89	4	4400	125	100	50
90	13	4825	125	50	50
91	4	4900	125	100	50
92	12	5175	125	50	50
93	4	6050	125	100	50
94	4	6700	125	100	50
95	12	6875	125	50	50
96	12	6925	125	50	50
97	12	6975	125	50	50
98	12	7025	125	50	50
99	12	7075	125	50	50
100	12	7125	125	50	50
101	12	7175	125	50	50
102	4	7900	125	100	50
103	1	25	75	50	50
104	1	75	75	50	50
105	1	125	75	50	50
106	1	175	75	50	50
107	1	225	75	50	50
108	1	275	75	50	50
109	1	325	75	50	50
110	1	375	75	50	50
111	1	425	75	50	50
112	1	475	75	50	50
113	1	525	75	50	50
114	1	575	75	50	50
115	1	625	75	50	50
116	1	675	75	50	50
117	1	725	75	50	50
118	1	775	75	50	50
119	1	825	75	50	50
120	1	875	75	50	50
121	1	925	75	50	50
122	1	975	75	50	50
123	1	1025	75	50	50
124	1	1075	75	50	50
125	1	1125	75	50	50
126	1	1175	75	50	50
127	1	1225	75	50	50
128	1	1275	75	50	50
129	1	1325	75	50	50
130	1	1375	75	50	50
131	1	1425	75	50	50
132	1	1475	75	50	50
133	1	1525	75	50	50
134	1	1575	75	50	50
135	1	1625	75	50	50
136	1	1675	75	50	50
137	1	1725	75	50	50
138	1	1775	75	50	50
139	1	1825	75	50	50
140	1	1875	75	50	50
141	1	1925	75	50	50
142	1	1975	75	50	50
143	1	2025	75	50	50
144	1	2075	75	50	50
145	1	2125	75	50	50
146	1	2175	75	50	50
147	1	2225	75	50	50
148	1	2275	75	50	50
149	1	2325	75	50	50
150	1	2375	75	50	50
151	1	2425	75	50	50
152	1	2475	75	50	50
153	1	2525	75	50	50
154	1	2575	75	50	50
155	1	2625	75	50	50
156	1	2675	75	50	50
157	1	2725	75	50	50
158	1	2775	75	50	50
159	1	2825	75	50	50
160	1	3075	75	50	50
161	1	3125	75	50	50
162	1	3175	75	50	50
163	1	3225	75	50	50
164	1	3275	75	50	50
165	1	3325	75	50	50
166	1	3375	75	50	50
167	1	3425	75	50	50
168	1	3475	75	50	50
169	1	3525	75	50	50
170	1	3575	75	50	50
171	1	3625	75	50	50
172	1	3675	75	50	50
173	1	3725	75	50	50
174	1	3775	75	50	50
175	1	3825	75	50	50
176	1	3875	75	50	50
177	1	3925	75	50	50
178	1	3975	75	50	50
179	1	4025	75	50	50
180	1	4075	75	50	50
181	1	4375	75	50	50
182	1	4425	75	50	50
183	1	4475	75	50	50
184	1	4525	75	50	50
185	1	4575	75	50	50
186	1	4625	75	50	50
187	1	4675	75	50	50
188	1	4725	75	50	50
189	1	4775	75	50	50
190	1	4825	75	50	50
191	1	4875	75	50	50
192	1	4925	75	50	50
193	1	4975	75	50	50
194	1	5025	75	50	50
195	1	5075	75	50	50
196	1	5125	75	50	50
197	1	5175	75	50	50
198	1	5575	75	50	50
199	1	5625	75	50	50
200	1	5675	75	50	50
201	1	5725	75	50	50
202	1	5775	75	50	50
203	1	5825	75	50	50
204	1	5875	75	50	50
205	1	5925	75	50	50
206	1	5975	75	50	50
207	1	6025	75	50	50
208	1	6075	75	50	50
209	1	6125	75	50	50
210	1	6175	75	50	50
211	1	6225	75	50	50
212	1	6625	75	50	50
213	1	6675	75	50	50
214	1	6725	75	50	50
215	1	6775	75	50	50
216	1	6825	75	50	50
217	1	6875	75	50	50
218	1	6925	75	50	50
219	1	6975	75	50	50
220	1	7025	75	50	50
221	1	7075	75	50	50
222	1	7125	75	50	50
223	1	7175	75	50	50
224	1	7225	75	50	50
225	1	7275	75	50	50
226	1	7325	75	50	50
227	1	7375	75	50	50
228	1	7425	75	50	50
229	1	7475	75	50	50
230	1	7525	75	50	50
231	1	7575	75	50	50
232	1	7625	75	50	50
233	1	7675	75	50	50
234	1	7725	75	50	50
235	1	7775	75	50	50
236	1	7825	75	50	50
237	1	7875	75	50	50
238	1	7925	75	50	50
239	1	7975	75	50	50
240	1	8025	75	50	50
241	1	8075	75	50	50
242	1	8125	75	50	50
243	1	8175	75	50	50
244	1	8225	75	50	50
245	1	8275	75	50	50
